page_domain_root,type,country
tass.ru,relevant,Russia
rg.ru,relevant,Russia
regnum.ru,relevant,Russia
allkharkov.ua,nonrelevant,Ukraine
pravda.ru,relevant,Russia
woman.ru,nonrelevant,Russia
runews24.ru,relevant,Russia
pda.kp.ru,relevant,Russia
5-tv.ru,relevant,Russia
ria.ru,relevant,Russia
interfax.ru,relevant,Russia
kommersant.ru,relevant,Russia
ura.news,relevant,Russia
fedpress.ru,relevant,Russia
dw.com,nonrelevant,Germany
riafan.ru,relevant,Russia
news-front.info,relevant,Russia
1prime.ru,relevant,Russia
vedomosti.ru,relevant,Russia
special.tass.ru,relevant,Russia
obozrevatel.com,nonrelevant,Ukraine
tvzvezda.ru,relevant,Russia
i38.ru,relevant,Russia
m24.ru,relevant,Russia
vz.ru,relevant,Russia
24tv.ua,nonrelevant,Ukraine
gorod48.ru,relevant,Russia
svoboda.org,underpressure,USA
gordonua.com,nonrelevant,Ukraine
liga.net,nonrelevant,Ukraine
unian.net,nonrelevant,Ukraine
aif.ru,relevant,Russia
korrespondent.net,relevant,Russia
echo.msk.ru,underpressure,Russia
lrt.lt,nonrelevant,Lithuania
vesti.ru,relevant,Russia
tsn.ua,nonrelevant,Ukraine
news.finance.ua,nonrelevant,Ukraine
ukranews.com,nonrelevant,Ukraine
iz.ru,relevant,Russia
kazanfirst.ru,relevant,Russia
championat.com,nonrelevant,Russia
lenta.ru,relevant,Russia
rt.com,relevant,Russia
objectiv.tv,nonrelevant,Ukraine
haqqin.az,nonrelevant,Azerbaijan
rbc.ru,relevant,Russia
nv.ua,nonrelevant,Ukraine
ren.tv,relevant,Russia
dni.ru,relevant,Russia
bfm.ru,relevant,Russia
news.day.az,nonrelevant,Azerbaijan
glavred.info,nonrelevant,Ukraine
3dnews.ru,relevant,Russia
informpskov.ru,relevant,Russia
sb.by,nonrelevant,Belarus
inform.kz,nonrelevant,Kazakhstan
pronedra.ru,relevant,Russia
sportrg.ru,nonrelevant,Russia
km.ru,relevant,Russia
centralasia.media,nonrelevant,Kyrgyzstan
timeua.com,nonrelevant,Ukraine
khovar.tj,nonrelevant,Tajikistan
charter97.org,nonrelevant,Poland
kuban.kp.ru,relevant,Russia
gazeta.ru,relevant,Russia
news.pn,nonrelevant,Ukraine
life.ru,relevant,Russia
pnp.ru,relevant,Russia
radiomayak.ru,relevant,Russia
sputnik-georgia.ru,relevant,Russia
gazetaby.com,nonrelevant,Belarus
rostov.kp.ru,relevant,Russia
akipress.org,nonrelevant,Kyrgyzstan
kasparov.ru,underpressure,Russia
bk55.ru,relevant,Russia
tatar-inform.ru,relevant,Russia
mk.ru,relevant,Russia
rueconomics.ru,relevant,Russia
rusjev.net,nonrelevant, Ukraine
mr-7.ru,relevant,Russia
bbc.com,nonrelevant,UK
infox.ru,relevant,Russia
podrobnosti.ua,nonrelevant,Ukraine
atn.ua,nonrelevant,Ukraine
radiorus.ru,relevant,Russia
amic.ru,relevant,Russia
sobesednik.ru,underpressure,Russia
rus.postimees.ee,nonrelevant, Estonia
jurliga.ligazakon.ua,nonrelevant,Ukraine
rusplt.ru,relevant,Russia
inosmi.ru,relevant,Russia
dn.kz,nonrelevant,Kazakhstan
israelinfo.co.il,nonrelevant,Israel
gazeta.ua,nonrelevant,Ukraine
fontanka.ru,relevant,Russia
rbc.ua,nonrelevant,Ukraine
polit.ru,relevant,Russia
9tv.co.il,nonrelevant, Israel
pressorg24.com,nonrelevant,Ukraine
info.sibnet.ru,relevant,Russia
zn.ua,nonrelevant,Ukraine
dp.ru,relevant,Russia
nversia.ru,relevant,Russia
newsmaker.md,nonrelevant,Moldova
tvc.ru,relevant,Russia
euroradio.fm,nonrelevant,Belarus
volga.news,relevant,Russia
nsknews.info,relevant,Russia
argumenti.ru,relevant,Russia
vsesmi.ru,relevant,Russia
ural.kp.ru,relevant,Russia
newslab.ru,relevant,Russia
baikal-daily.ru,relevant,Russia
kanoner.com,nonrelevant,Russia
klops.ru,relevant,Russia
tazabek.kg,nonrelevant,Kyrgyzstan
048.ua,nonrelevant,Ukraine
azertag.az,nonrelevant,Azerbaijan
euronews.com,underpressure,Europe
zr.ru,nonrelevant,Russia
7kanal.co.il,nonrelevant,Israel
vb.kg,nonrelevant,Kyrgyzstan
ampravda.ru,relevant,Russia
vgoroden.ru,relevant,Russia
newsru.co.il,nonrelevant,Israel
aex.ru,nonrelevant,Russia
krsk.kp.ru,relevant,Russia
nikvesti.com,nonrelevant,Ukraine
omsk.kp.ru,relevant,Russia
ridus.ru,relevant,Russia
murmansk.kp.ru,relevant,Russia
garant.ru,relevant,Russia
kbs.co.kr,nonrelevant,South Korea
deita.ru,relevant,Russia
spb.kp.ru,relevant,Russia
newsler.ru,relevant,Russia
delfi.lt,nonrelevant,Lithuania
pda.kp.md,nonrelevant,Moldova
myslo.ru,relevant,Russia
piter.tv,relevant,Russia
azattyq.org,nonrelevant,Kazakhstan
nevnov.ru,relevant,Russia
news.mail.ru,relevant,Russia
from-ua.com,nonrelevant,Ukraine
primamedia.ru,relevant,Russia
sia.ru,relevant,Russia
vrn.kp.ru,relevant,Russia
sevastopol.su,relevant,Russia
nsk.kp.ru,relevant,Russia
pln-pskov.ru,relevant,Russia
igromania.ru,nonrelevant,Russia
ug.ru,relevant,Russia
the-village.ru,underpressure,Russia
nv.am,nonrelevant,Armenia
hab.kp.ru,relevant,Russia
